feature,importance
driver_career_dnf_rate,0.1832740793107475
grid_position,0.14352985335606908
constructor_career_dnf_rate,0.09063156611809485
constructor_dnf_rate_recent,0.06711982635012854
driver_dnf_rate_recent,0.061458382145497634
driver_career_top10_rate,0.04918919216885223
driver_avg_points_recent,0.042541562119268274
circuit_avg_dnf_rate,0.04103962207938464
constructor_avg_points_recent,0.037595059553400305
driver_avg_positions_gained_recent,0.03653490010553927
driver_career_races,0.033139642901911105
constructor_career_top10_rate,0.03261051486604069
qualifying_position,0.02455170333693092
circuit_times_hosted,0.02182213831123081
constructor_career_entries,0.018750555625854863
driver_top10_rate_recent,0.01873974826273333
started_top_5,0.017498119606977214
driver_career_wins,0.015686870372665505
constructor_top10_rate_recent,0.014156082781158028
driver_races_at_circuit,0.013719693239979281
driver_dnf_rate_at_circuit,0.01207893962169214
driver_top10_rate_at_circuit,0.011676950379902375
started_top_10,0.006927464483438457
driver_races_in_window,0.005727532902502888
